overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"02 25, 2008",A4NO12WTPDZ79,B000U5TUVK,Meikwai,Illusion is right... this is a one time play for most. Hard to show others and a waste of money.,Illusion is right.,1203897600,3,,
1.0,True,"12 31, 2013",AW0IOR4AEEK46,B00DRKJ7VI,CindyWard,I did not notice that it wasn't a full game when I purchsed it...will definately look good the next time!,Not what I thought it was...,1388448000,,{'Platform:': ' PC/Mac Download'},
1.0,False,"11 16, 2008",AK4Y6J8GEM0XB,B000H5UY72,Chris Peterson,"this is a waste of time, money and plastic. don't even bother it doesnt work. its garbage.","piece of garbage, not worth the plastic its made of",1226793600,,,
1.0,False,"04 16, 2018",A1YBLPSMIYHF3U,B00EFRN2IQ,J. Butler,"I miss the days you could pop a disc in, type in a product key, and you were ready to play within 30 or so minutes. No internet connection, no online authentication, no proprietary game launchers. Just the game you bought and you. Bought this game for my wife and it is a damn nightmare to get it up and running. So many problems, I couldn't believe it. Let me break it down.

1. You need to set up an Origin account. This one isn't the worst, but I find it annoying that I need to create an EA login and password just to play a game I bought. I don't plan on using Origin for anything else, so this is definitely an inconvenience.

2. Origin constantly crashes. I tried installing this on my wife's computer, which is windows 10. Origin would crash a few seconds after launching so I tried a few things - restarted the PC, checked for any updates, checked drivers, uninstalled and reinstalled Origin. Nothing worked. Tried googling the problem and it seems to be a common occurrence - Origin does not play nice with windows 10. So I tried launching Origin through compatibility modes for Windows XP, Vista, 7, and 8. None of them were stable. They all crashed. Great. I then tried installing it on MY laptop, which is still windows 7 by default and after a few brief crashes, it finally loaded the store and let me type in the product code. THANK GOODNESS.

3. There is no way to install from the DVD that came with the game. When you insert the disc, an autolaunch window pops up telling you to install Origin, set up EA account, and then install Sims 4. Ok. I did the first two things....let me install Sims 4. But it won't. There are no options. If you click continue, it will just try to install Origin again. So you close it, pop the disc out, pop it in....and it loops the same prompts. Install Origin, Set up account...I GET IT. I already did those things. SO...I look through my Origin launcher for options. Nothing about installing from disc, only lets you download. Great. Now I gotta wait HOURS for this thing to download 10 gigs of data so I can play the game I ALREADY BOUGHT AND HAVE A DVD INSTALL DISC FOR. What a waste of time.

Don't bother with this crap. Just play the old games. EA is too worried about making sure the costumer jumps through hoops to authenticate their purchase that it just is not worth it in the end. Never again",When Did PC Games Get So Complicated to Install?,1523836800,,"{'Edition:': ' Standard', 'Platform:': ' PC / Mac'}",
1.0,False,"10 16, 2017",A2EUBUB2CPN7X7,B000FQ2DTA,Squall&#039;sScar,"Final fantasy.exe has stopped working.
God-awful. RIP the Squaresoft we all once knew.
I heavily bid them adieu.","Utter garbage, man. The sub-plot has yet to grow a backbone.",1508112000,,{'Format:': ' Video Game'},
1.0,False,"07 29, 2010",A2WPX0EE2DZGYK,B000ZKA0J6,Axle F.,"!!EDIT #3!!
This is now a NEGATIVE 5 star review!
I thought that, ""Hey... It's been over half a year since I last played this game... Maybe, just maybe... Blizzard fixed the stupid Skirmish A.I. and the game might be fun now..."" Boy was I wrong, as I cannot even play the game anymore because of blizzard treating its paying customers as if they were criminals. They might as well ask for a fingerprint and D.N.A. sample before being able to play. Maybe I need to take a test of some sort before they deem me worthy to play a game I PHYSICALLY OWN! Hell the C.I.A. and F.B.I. websites have less log-in requirements than this freaking game.

I have to REMOVE ALL STARS because this game is no longer playable due to the sheer amount of loops needed to jump through just to play OFFLINE SINGLE-PLAYER!!! There is nothing wrong with my FIOS fiber-optic connection! There is nothing wrong with my firewall! There is no reason to have to activate a game (for the sixth time!!) I LEGALLY OWN AND HAVE A PHYSICAL COPY OF IN THE DRIVE! It tells me I need to link my game to the battle.net account but doesn't give me a link or any decent information as to HOW TO DO THIS! I CANNOT PLAY THE GAME AT ALL IN ANY MODE!! I cannot even log onto the game as a GUEST on my own computer! I DON'T EVEN PLAY MULTI-PLAYER!! Why the bleep do I need to log onto 3 different places to play OFFLINE SINGLE-PLAYER!?!? This is beyond ridiculous!

If this is their idea to try and stop piracy, then they failed, because this kind of treatment of PAYING CUSTOMERS just drives PC piracy through the roof.

If there is any class action lawsuit against blizzard, or way to return the game, please let me know because I want my $60+ dollars back!!!
!!EDIT #3!!

I just got the retail release... Been waiting 10 years for this... I have to say it is more hype than it delivers on. Yes the controls are still nice and simple, I enjoy that a lot... But it just seems to be Starcraft 1 minus the brood war expansion, with a bit better graphics thrown in. Forgive me for being blunt and critical with this but THEY HAVE HAD OVER 10 YEARS TO MAKE THIS GAME!!!

First off the price was outrageous, but like an idiot fanboy I shelled out $60 bucks for 1/3rd of a game... Considering that this is only the Terran campaign and that the Protoss and Zerg campaigns will not come out for over a year from now, and they will cost an additional $60 each, as far as I know at the moment! Though there are rumors they may be expansion priced at $20 a pop (in all honesty they should be FREE Down-Loadable-Content since it should have been in the game from the beginning!). So Blizzard is becoming even more greedy than EA. Sure when EA releases a game it's too soon, half-a$$ and buggy as all hell, but at least it is mostly there. Blizzard, on the other hand releases a game, a million years after the first game, fully polished and de-bugged, but missing 2/3rds of the gameplay and no big improvements over the original!

The game runs fine on ultra settings for me with vista ultimate x64, 8gigs of ram, and an Nvidia 9800gtx+ card, but I am a bit disappointed considering there has been over 10 YEARS of 3D RTS advancement from the original Starcraft... What I mean is: You CANNOT rotate the camera, only zoom in and out a little bit so sometimes trying to click on one unit in a group of many is a nightmare. You CANNOT rotate the placement of buildings so everything is always facing only one direction, not that bad but units still come out of the sides or backs of buildings through walls instead of the front door... The is NO anti-aliasing support, not that bad, but my computer is a gaming rig. So compared to the older Command & Conquer Generals, or the newer Command and Conquer 3, or Supreme Commander and many other RTS games out there already; this game is actually BEHIND the times in graphics and 3D battlefield control.

One of the worst things is the online requirement... But fortunately it is only checked occasionally so this can still be played offline with a laptop, but in that case you have to log on as a ""GUEST"" for a game YOU OWN on a computer YOU OWN! But BEWARE, when you register the game they ask you VERY PERSONAL THINGS, like: name, age, sex, location, telephone number, and even your street address! And you HAVE to fill it out or else you cannot play the game!

Now for the gameplay... It is just as awesome as the first Starcraft! I am having a blast with it... But that is because this is JUST LIKE the first Starcraft, some of the levels feel like they just took them from the first game and threw in more eye-candy. If you LOVED BASE BUILDING then keep playing the original Starcraft, because this game seems to have been made for the A.D.H.D. And A.D.D. generation, too many levels are small and set with a TIME LIMIT... Come-on Blizzard! You can do better than tiny little 10 minute levels... Though there are still some large maps and unlimited time levels for us base builders. But I miss the huge levels from Broodwar and the original Starcraft where you would have to send out search patrols all over the map to find that last enemy building or objective. I think they spent more time on the cut scenes and in-between game down time than the level design and map sizes, some of the levels feel downright cramped claustrophobic. There are some new, and quite AWESOME units in this game, but there are also lots of missing favorites from the Broodwar expansion. Though one of the new elements I find interesting is the downtime between missions where you can purchase unit upgrades, talk with crew members ""Point and click"" style, and choose the next missions a bit less linear than the first Starcraft, so it has a bit of RPG elements thrown in. They have also jumped onto the whole ""Achievements"" bandwagon so you get these annoying popups now and then that apparently give you bragging rights online or something like that. When you get these achievements, they don't actually do anything that I am aware of in the game other than unlocking portrait pictures for the forums online community.

This game gets 5 STARS for fun because it is just as fun as the first Starcraft, but... It only gets 2 STARS overall for the fact that in over 10 years they could only give us 26 missions in ONE PLAYABLE CAMPAIGN, and slightly updated game-play graphics (one of my friends couldn't tell the difference between the original Starcraft and this one), while taking away LAN play, taking away some favorite units, and jumping on the ""ALWAYS ONLINE"" and pointless achievements intrusive bandwagon.

I loved the original Starcraft to death, so I honestly thought this one would be a bit more updated compared to the original. It is still a very fun game, but I would say... Wait a few more years for a game of the year edition, or a reduced price box-set with everything included, unless Blizzard nickel and dimes its fans to death first.

*edit #2*
Player vs. A.I. is completely messed up, the A.I. does not even make base defenses until 30 minutes into a match and even then it makes only 3 and in a weird place. A.I. also attacks the entry to your base that is nearest to the A.I. base and completely ignores undefended points of your base if they are farther than your main entry point. A.I. also just creates a large mass of units and sends them all at once making the A.I. very easy to defeat with even bad units. Multi-player and VS. A.I. has a lack of unit types, basically half of what you got in the campaign. Every day I play this, it feels more like a still in development beta release.

I will continue to update this review as things get worse or better over time.

---BOTTOM LINE---
Just play the original Starcraft and Broodwar expansion because this is 1/3rd of a game with a slight 3D graphical update, sparkly cut-scenes, and the most draconian and annoying start-up and log-in procedure of any game I have ever played.",Pretty much over-hyped Starcraft 1 with more 3D,1280361600,6,{'Format:': ' Video Game'},
1.0,False,"10 5, 2014",A1NOW48VYR9FWC,B00GMFKYGW,SMusser,"lacks inverting the camera for right thumbstick on x and y so i can't play this game.

game ruined by something so simple.",no x and y invert = no sale,1412467200,4,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"01 13, 2017",A2SJA970FO024V,B00ZQBLNP4,Silver,"Not sure how i feel about this game
I rather of had sotc 2 or sotc with extra bosses
TLG tries to mix both ico and sotc and i really don't like that
Ico had some annoying fights over & over again but at least you had a weapon. But doesnt matter because i hated ico and all of that while doing puzzles. Ico made me insaine and after watching tlg, with this new boy who has no way of fighting would drive me crazy too. Trico has the same ai as the colossi and horse in sotc and sotc had some annoying ai. So stupid dumb as bricks ai plus no way of fighting makes a poor and tedious adventure i really don't want. Also the very strange alien tower at the end? Wat",Not the game i wanted,1484265600,2,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,True,"12 13, 2010",ACH2469V7GQA7,B002PGC9KG,C. A. Sinclair,"I have installed this kind of screen protector on many devices (Phone, GPS, DS, PSP, etc). The sizing of this was completely wrong. I bought 3 of these to install on 2 distinct DSis and had problems across the board.

The items comes with 2 protectors. A large one for the top screen and a smaller one for the bottom screen. Seems simple. The problem is that these 2 protectors behave differently. Only the larger protector allows transmission of touch signals from stylus (ie when the smaller protector is on the lower screen and you touch it, nothing happens). Keep in mind that the large protector is for the top screen WHERE YOU DO NO TOUCHING. The smaller protector, where all the touching occurs, inhibits the stylus completely.

The work around is to use the smaller protector for the top (not a huge deal) and then TRIM the larger protector to fit the bottom screen. As you can imagine even careful cutting is not as good as a factory edge. Also cutting introduces particulates which create bubbles.

Really terrible item, AVOID. Would not buy again.","Awful for DSi, requires trimming",1292198400,2,,
1.0,True,"01 24, 2015",A2Z4OH0I51Y9K9,B000OFSBL6,Peter,"Worked fine the first week. Changed TV's once and now the red input doesn't output color so the screen is just blues and greens. It isn't the TV either, the blue works in the red input. Also, every 10 minutes roughly, the screen goes black for a couple seconds then cuts back in.",Works for a Week,1422057600,,,
1.0,False,"01 20, 2014",A149ULJYQZUF4L,B00FM5IY0Q,GreenDeanMachine,"Wii U has much better graphics in my opinion. Also, the system is $200 less, not to mention the controllers are way more cost efficient. I chose Wii U, and I'm happy.",Was better on Wii U,1390176000,5,,
1.0,False,"01 19, 2014",A2LPDLCKQ5KK9E,B00B2ZLJ0W,D. Tanner,"Let's do some elementary math here folks.
Player A walks into Best buy and buys a prepaid eShop $20 card for $20
Player B buys one from this idiot. for $27.99
Both player A & player B got the same value to spend on the eShop ($20.00)

Who got the better deal?

Amazon should start banning sellers for this kind of thing. I sell on amazon myself and understand markup for demand it's good business after all buy a PS4 and sell it for $100 or so over retail when the supply / demand is high. Make a few dollars there is no reason to pay more than retail cost for these cards. There is no more value to buying this card vs buying one on the eShop or at another retail store its still the same $20 card and you will have $20 to spend on the eShop. I don't think retail stores are even allowed to charge tax on these I could be wrong on that but point is you'll pay $20 for a $20 card at Best Buy, Walmart or even on the nintendo eShop itself. Don't waste your money with this.",Can't stand the poor business practice of praying on stupid people!,1390089600,9,,
1.0,True,"10 5, 2011",A3U9QJ0AE27KMZ,B0054SFKUS,M Phillips,"God Help you if you buy this because no one else will.  It is a scam.  They don't tell you that it is a download through the steam servers.  They don't tell you that in no way can you return the item period.  You wait several hours to download the product with no warning about steam.  You then have to create a steam account.  Then you have to wait several more hours for the steam service to update the product and make it palyable.  Then if you actually want to play the game you have to log in through the steam server to play it.

Now if you decide you don't like this option and want to return it.  You click through 4 or 5 pages before you get to a page that says click here to return this product.  That link will take you back to the first page you clicked on.

To find out that the game is fully non-refundable you have to start clicking through the links until you finally find it.  Yeah full disclosure, right????)

Finally you wind up calling Amazon customer service if you can find the number 866-749-7539 they will tell you they will take care of it and then transfer you to games and software downloads.  They will promptly inform you that once you download it there is no refund.  Never mind the fact that you don't know this up front.  Nor do they tell you it is a steam service and the only way to play it is to log on through their service.

If you are smarter than I am, buy the cd.  If not enjoy the pain.",dungeon sige iii,1317772800,,"{'Edition:': ' Standard', 'Platform:': ' PC Online Game Code'}",
1.0,False,"04 30, 2013",A1Z2UPU7F26Z47,B00B59MXDM,Sher Lock,"From multiple news sources and MANY pissed-off players like ME.

Dragon's Dogma vanilla and Dark Arisen players alike, take heed. A recent title update for Capcom's fantasy RPG seems to be corrupting save files for some users.
If you haven't downloaded the update yet, Capcom suggests copying your data to the cloud or an external device before patching the game. Capcom promises to have a solution ""as quickly as possible.""

Yeah, right, just like Ubisoft screwed customers with Assassins Creed 3.",Corrupted Save Games Ruin It,1367280000,7,{'Format:': ' Video Game'},
1.0,False,"10 22, 2013",A2DCT3FD4BNBI4,B00CD90R72,Juan Manuel Barrios Valdes,This gam is: boring boring boring boring boooooring.... i have more fun watching my baby sister sleeping! or when im dreaming,Boring,1382400000,2,{'Format:': ' Video Game'},
1.0,True,"07 26, 2004",AE8LL9S715YTE,B00004W4QJ,Amazon Customer,"I am not what one might call an overly hyped video game player. I don't go out and buy the next installment of FF (after VIII, it really got bad imo), I enjoyed .hack and its storyline though (but I felt that the series could have been brought together into one large game like with FFVII). Then there is the PE video game, I loved the first one, had some trouble, but over all it was a great game. I knew there was a part 2, so I found a copy and started playing it. Boy...was I disappointed.

 First, the game play is terrible, the movement is haphazard, the angles are horrific, and its down right troublesome (unlike the first one). I loathed the movement, there was none of the smoothness of the first one.

 Second, I hated the leveling, what leveling there is. You don't go up in your hit points, you barely go up in MPs and parasite powers, and even worse, when you go to a next scene (from one point to the next in the story) you go back down to your 100 hit points.

 Third, which is related to the angles, the combat is atrocious. There is nothing quick and exciting, in fact its down right stressful because (since you rarely have a chance to get items for health unless you spend ""money"" between the scenes at home base) you end up dying again and again until low and behold you get through with maybe 1 hit point left and then WHAM you are hit by another attack and you have to do the whole stupid thing over again. Even worse, the camera angles are so bad you rarely if ever see the enemies and just shoot blindly.

 Fourth, connected to three, the weapons are horrible to use. You end up getting killed repeatedly because you have to jerkingly reload so many times that when you are facing multiple opponents (unlike the smoothness of the original first story) and you're going to get killed unless you spend hours dealing with one combat situation.

 Fifth, items, with the original first game, you got lots and lots of items. With this game, you are in luck if after three or four attacks (bringing you down to 1 hit point) you finally strike it and get a recovery2 pill that brings you back up to original hit points but then again those hit points are taken down again by the end of the next combat round.

 While the story line might be interesting, it fails in comparison to the first one and by all means, the poorness of this game in the controlling just makes you so fed up that you don't care how this story ends. Its a bad, bad game that could have been a great sequel if only the company had followed the original game's beauty. Dont buy this game unless you have lots of headache medicine.

 I can't believe it, but I actually hate this game.",A bad sequel,1090800000,12,,
1.0,False,"07 8, 2012",A3TVW39631ZKKU,B00178630A,Kastoremaru,"I played this game for close to 200 hours in a failed attempt to get some fun out of it.  Yes, you're going to think that I got 200 hours of enjoyment out of it, but no I didn't.  I kept reading that if I get to X section or X level or X difficulty or X gear that the game comes alive.  700 days played in World of Warcraft.  Thousands of hours played in D2.  Having played many Blizzard games I kept giving this trash the benefit of the doubt but finally realized it was nothing but Blizzard fan boys talking and quit.

I believed in Blizzard Entertainment.  I really, really did.  From the start the game is doomed as the story has more holes than a block of Swiss cheese.  Then you're expected to play the game in a group where one guy always clicks skip story.  Playing solo is futile as your gear drops will be for another class, thus you need different classes in your group to share the loot.  Sounds pretty stupid right?  It is trust me.  What if the other guy in the group doesn't want to share?  You get nothing.  Fun huh?  So at this point you're stuck buying gear off the auction house for either millions of gold or real money.  This game is all about the fun of looking on the auction house for gear to beat a level.  Pure fail Blizzard!  Pure fail!

Then there are issues with the game's difficulty as it makes you play the game out on beyond easy mode where I lost 3 friends to boredom.  They refused to finish the first difficulty as they literally danced in the fire, intentionally got hit, and never died.  They said the game was crap and quit.  The game doesn't get decent until the 3rd time you've played it through.  So you have to play the exact same game 3 times before you get a challenge unless you fall asleep at the keyboard from boredom and die.  If you get to a section you can't get past just buy some gear off the auction house and more than likely you're back to god mode again.

Last point I want to touch on is that the game's end game is nonexistent.  As in it's hard not because it's fun, but because it cheeses you into death.  I play a Demon Hunter and most everything can one shot you unless you invested hundreds of million in gold into your gear.  Then you can last for 3 hits!  So assume you're not the type of person to spend real money on the auction house.  So you're going to get a ton of one hit deaths when you try to kill elite mobs.  You might die 9 times to a mob if you're not spending real money on gear.  Repair bill will be close to 50,000 gold.  The mob will drop about 3,000 gold in items and money.  So then you get in a group and pray that the mob decides to chase another person.  But there are tons more of them so you still die over and over.  Sounds like fun huh?  Who thought mechanics that can one shot kill you were fun?

I also want to mention that the game lags like no other.  Take the one shot mechanics from the aforementioned paragraph and sprinkle in some huge lag spikes and you can watch your characters die over and over to invisible mobs, invisible attacks, melee mobs hitting you clean across your screen, etc.  And there is a Hardcore mode where if you die you lose your character and all of it's gear.  That makes the game even more fun with lag!

Game is terrible.  Leave it in the store.  Do not buy.  It is not fun in the slightest when you get to Inferno.  The story is terrible.  The gear drops don't exist for you.  The auction house is the best place to level up.  And the real money auction house has the best gear.

Enough said.  :)",Diablo III is a complete waste of your time.,1341705600,19,{'Format:': ' Computer Game'},
1.0,False,"06 20, 2008",A3P0UTYOSBMGGV,B000TU1JN8,Giggles,"Okay I'm going to start off by saying that I have played 5 out of the 7 Spyro games I know of.  The first three for the original PS and Enter the Dragonfly as well as A Hero's Tail.  I found that I loved these games until Insomniac quit being involved in making them and Universal/Vivendi took over.  A Hero's Tail was better than Enter the Dragonfly which had so many bugs and not enough of the subworlds I was accustomed to.
I bought this game figuring maybe, just maybe Universal had listened to the customer's who said they miss the Spyro from the original games but no, they didn't listen.
This game is the polar opposite of the Spyro games for PS in that all you do is walk a little, kill some enemies, walk a little more and.... you guessed it kill some enemies.  There's no collecting of items just fighting.  If I wanted a game that only involved fighting I'd buy Mortal Kombat (which I loved back in the day).  This game was so boring and disappointing I didn't finish it.  It was a waste of my money and I'd sell it but I do not want to torture anyone with a game this boring.  If you like fighting games then this is for you but if you've been a fan of the Spyro series from the beginning you're probably going to say the same thing I did and that is that this game stinks.  Please, Universal, listen to the customers if you plan on making anymore Spyro games and if not, then just quit making them because these last few games are horrible!",Where's the Spyro I loved?,1213920000,3,{'Platform:': ' Nintendo Wii'},
1.0,False,"02 18, 2016",A1I7W3JW0VSOWZ,B00QXJFE08,Carlos Cerritos,"Stay away, don't support this greedy company. Game doesn't worth $60 not even $20.",DO NOT BUY IT.,1455753600,12,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,False,"10 22, 2008",A3B0SZ3FD4LHL5,B000X9FV5M,Brian W.,"Buyer beware!  This game contains the SecuROM virus.  Once installed SecuROM can not be deleted even if you are the administrator of your computer (just like other viruses).  If you do indeed want to remove it you must download and run a special ""clean"" tool (again, just like other viruses).",Purchase this game at your own risk!,1224633600,11,{'Format:': ' Video Game'},
1.0,True,"11 30, 2017",A292JM2OKPTAS1,B000VINP1W,Catherine Smola,not working.... black screen...,One Star,1512000000,,,
1.0,True,"10 13, 2017",A15PYCHZ4XM3C,B00SUYAA12,DrX,"I bought two of these thinking I would use them in an SNES mod. They do NOT function well, there is inconsistent wiring issues. One would map Y but not X etc. Same controller, on the same unit in the same environment. I had to return them. There was no pushback from the seller on the return and I received a full refund promptly.

Good seller, bad product.","Good seller, bad product",1507852800,,,
1.0,True,"04 17, 2013",A2FJSHFT99D669,B000P0QJ1E,Juanda Green,it wasn't what i expected. it was a cd not a game. i would not tell any one about this cd.,not what i expected,1366156800,,,
1.0,True,"04 15, 2017",A2L7SCRP0P91SM,B00ZM6GX5I,killer b,SCAM,One Star,1492214400,,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,True,"08 8, 2014",A38N9L4SUIHKWO,B006W41W7S,S. Heskin,When I clicked on this headset it said it was used with the xbox 360. It did not specify it was for a PC. The PC didn't come up till my order was complete and already in the process so I bought a conversion kit because of the cost I could not pass up this headset but not worth the money I paid.,When I clicked on this headset it said it was ...,1407456000,,,
1.0,False,"05 9, 2006",A2POXE8CSEDNIB,B0002XIX0E,111tribe,"Just got this item in today.  First problem after plugging them in was the volume control on the chord was stuck.  I had to force the thing to move.  The second problem was the mic would not pick anything short of tapping the thing hard or yelling.  The third problem was the right headphone was not working.  I took the POS apart to discover that the right earphone was not soldered to the proper location.  I will not be returning these because, I don't want Logitech to refurbish these.  I want them in the trash.  I also hate to say, based on what I saw, I will not purchase anything audio from them again.",Very Bad Craftmanship,1147132800,8,,
1.0,False,"05 21, 2009",A1SKSNJUOTI08E,B001Q96ZNU,Wolvenmoon,"Crysis is one of the most tragic stories in PC gaming history.

Crysis original does not have 5 activations on their DRM, but was lacking in gameplay. It had some really awesome moments and was just waiting for an expansion pack to come and better it.

Crysis warhead had intense action in awesome environments coupled with highly detailed levels and more character personality, but it also has the nasty draconian DRM known as securom. This means that you cannot resell the game when you're done, nor can you buy one copy and play LAN games. If you have a little brother that wants to join you, or a dad and brother, expect to pay full price per seat.

If you're creative and have trustworthy friends, you can lend crysis warhead to a friend just fine, which is how I played it. There are many less breathtaking moments, and stealth is no longer your priority, but you can't just blindly shoot places up.

Unfortunately, because of piracy IN RESPONSE TO the anti-piracy/DRM measures, crytek has decided to compromise the quality and integrity of their games and work on porting their next crysis/cryengine games to console. The difference is immense, and Crysis is as good as it will get for PC gamers as far as utilizing system resources for at least another 6 months.

Pros:
-Very awesome physics
-Very awesome graphics that make console graphics fanboys cry
-Some interesting gameplay dynamics
-For an FPS in this day and age, interesting AI

Cons:
-Downright nasty DRM measures on warhead and wars.
-Psuedo-open environments, you are on a linear path, always.
-Exploration is rarely rewarded when it can be done
-Developer has added injury to insult, and after alienating most of its PC customers claimed that the piracy is too much for them. Sales numbers at the time were 1.5 million copies sold, 350,000 copies downloaded. Sales numbers now are 4.5 million copies sold, 800,000 copies pirated.
-Sequels will be using console-ified graphics and gameplay that won't be worth your time. For now Crysis has an interesting storyline told wonderfully by the game engine, but this will change.

Bottom line: Buy this 3 pack when it hits 29.99 or lower, buy sequels at 19.99 or lower, but not a penny more.",Squandered potential,1242864000,41,{'Format:': ' Computer Game'},
1.0,True,"04 25, 2012",AXGPU830TXJ86,B000H3AV1S,Bitofinger,"The game installed fine, but when you go to play it, there is a digital rights management program called Star Force which must be set up first. I wish I had researched it online first, because it totally destroyed my operating system twice.

After the first install, and attempt to run the program, Star Force popped up and said I had to install it to play the game. Next I had to reboot my PC. Okay, no problem so far. Next thing I know my computer crashes, goes into a DOS-like screen where Windows tells me it has to do a system repair. At first I thought this might have been a hiccup, but later I tried installing the game again and the exact same thing happened.

Next I tried it on my laptop, and while it didn't require a system repair, the program just wouldn't load (I'm running XP 32bit on both computers by the way).

As with many of these DRM programs, there seems to be a complete lack of ethics. I was not given the option to remove Star Force (it was never listed on either machine in Control Panel>Programs and Features). So I had to do a system restore on my laptop as well.

Search the web before buying any program that has DRM such as this. Let the buyer beware.",Game never worked,1335312000,,,
